sentiment,text
negative,@united today take flight to san francisco. .. refuse to let us board with baby early... time we board wont let us take baby carryon bag
negative,@united we had four scheduled flights on this reservation and literally did not take one! Unreal
negative,@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over
negative,@united 3 hours to rebook but 8 hours l8r the same problem again. Arrive at gate stopped cause now infant is sitting in 4 yr old lap
negative,@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.
positive,@united thank you!
positive,@united Thanks for the update.
negative,@united and those three people were awesome working very long hours. It is easy to say sorry on Twitter but you should help your ppl @EWR
negative,@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?
negative,"@united ,now you have Cancelled Flightled my wife and daughter's flt?? What's going on? Follow me so I can dm details."
negative,@united Has it departed? I was awaiting an inbound plane yesterday for three hours and it never arrived. Had to stay overnight (again).
neutral,@united #UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours?
positive,@united just confirmed a seat! Crisis averted! Beers won't be missed now
negative,@united was that English? I'll DM though I don't think you'll make a plane appear.
negative,@united looks like today will be my 6th consecutive delayed flight from you...do I win a prize??? @Southwest Air why don't you fly to SBA? 😭
negative,@united sitting in a plane with no pilot.  Thanks! #waitingonapilot #denver #siouxfalls #whyairtravelsucks
positive,@united Understood and thanks! I should have tried reaching out sooner.
negative,@united already done that. the answer i got was... oops we can give you miles and we're very sorry. but who pays for my discomfort for 9 h?
negative,@united received hotel but no food.  Also email for 3750 miles.  Last trip had 3 hr delay and 5000 miles - so less for Cancelled Flightlation?
negative,@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines
neutral,@united follow back and I'll give you the details.
negative,"@united and most frustratingly, all this delay happened either at the gate, or even onboard the aircraft! No heads up in advance!!!"
positive,@united The DEN b44 agent (9:30am) was amazing. The MPAgent at check in? She sucks. @seanMFmadden @PeterStraubMMA @jmercadoMMA @TonySimsMMA
negative,"@united my UA3426 on 2/19 was also delayed by 2 hours, stretching my trip way past the midnight, extremely exhausting!"
negative,@united Ha… you rebooked me in to an 11 hr layover &amp; are robbing me of a night with my family. Too Late Flight for that. Just fly on time for once.
negative,@united switched to fly united from delta for the past two trips and was very disappointed. Now my UA4646 on 2/23 is delayed by 3 hours!!
positive,@united traveling with @MegZezzo who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior
negative,@united  #UnitedAirlines  how long will1531 be delayed.
negative,@united Why isn't the flight status updated to delayed UA1532 no board
negative,@united I paid for economy plus and you put me in the last boarding group so I have to gate check my bags too? @VirginAmerica knows better..
negative,@united i travelled from SCL- IHA feb 17. the AC on my sit (21L) was ON all night. I complaint to FA who never gave me a real answer. Help!
negative,@united you suck.    9 hour delay?!
negative,@united you are the worst airline in the world! From your crap website to your worthless app to your Late Flight flight. You SUCK! Just shut down.
neutral,"@united @scotthroth scott, need a good book suggestion?"
negative,"@united JH, thanks so much for reaching out. I was able to get assistance after waiting for 70 minutes."
negative,@united 3866 is at a stand still! No pilot or paperwork for fix over 25mins! Problem was fixed 30mins ago. Flight is as is delayed!
neutral,@united please see dm!!
negative,@united. Is it reasonable to wait 45 mins for the bag you made me check because the flight staff couldn't police the overhead bins?
negative,@united Please msg me a # for customer service. I will have an invoice for my dry cleaning but won't be able take wet clothes to the airport
negative,@united AN HOUR DELAY BECAUSE YOU CAN'T PRINT A PIECE OF PAPER!
negative,@united still no response??
neutral,@united 4 people MCI to DEL. Preferably with Jet Airways EWR-BRU-DEL segment. Anytime in December
negative,@united should have been able to get seat assign without paying $174 more - cust sec should have done that for me
negative,"@united There is no ""reference number."" Your agent told me to ""just drive to the airport"" because ""I can't reach anyone there to deliver..."""
negative,@united Slightly better. Crew spent a long time searching for better altitude. Would have helped to let pax in on why all the sharp drops.
negative,@united My credit card was charged on the transaction when I was told it would not be. If the charge goes through I will be contacting you.
negative,@united my PQMs and PQDs are no longer showing up correctly in my MileagePlus acct. How can I get this fixed?
positive,@united Thanks!
negative,@united 768 SFO to BOS and no internet it is 2015 what gives?
negative,"@united is the worst. Worst reservation policies. Worst costumer service. Worst worst worst. Congrats, @Delta you're not that bad!"
negative,@united I am trying to make/change reservations and getting extremely frustrated!!! Giving up and trying another airline!!!
negative,"@united I got email update but still no ETA. More communication/details, apology + info on compensation rights would go a long way"
negative,@united Late Flight crew into #btv last nite delayed todays flt. Will miss connection to #cun. Why do I have to play for hotel tonight in #ewr?
negative,@united no they aren't - I just called to check. #WORSTCUSTOMERSERVICE
negative,@united passengers should have been rerouted to match the intended arrival time (even if you have to incur cost to put us in other airlines)
positive,"@united been solved,  they finally picked up the second time I called,  thanks for the response JH!  7:21 to dulles works!"
negative,"@united need to work on your #United #flierfriendly program. At the very least, clue in your flight attendants."
negative,@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united
negative,@united 's new #flierfriendly is garbage. Just had to cry to get attendant to find a place for my medical supplies with limited overhead
negative,@united. epic fail. @reagan. no jetway. been here 15 mins on tarmac!
neutral,@united at the gate! IAD to RDU
negative,"@united thanks for the link, now finally arrived in Brussels, 9 h after schedule..."
neutral,@United to operated #B767-300ER from #Newark to #Zurich @ZRH_airport replacing B767-400ER between 6MAY-23SEP instead till 23OCT #avgeek
negative,@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE
neutral,@united Hi! what is the phone number for reservations in Venezuela? Thanks
neutral,@united can I request a ticket change through twitter ?
negative,"@united UA1130 Flight was a nightmare!! From poor customer service,having my confirmed seat given away.... +more issues"
neutral,@United to start daily #B777-200ER flights from #Newark to #Milan #Malpensa replacing #B767-400ER on 7APR instead 28MAR #avgeek
neutral,@United to start daily #B777-200ER flights from #Newark to #Frankfurt @airport_fra replacing #B767-400ER on 2JUL #avgeek
positive,@united has the best customer experience via twitter - huge fan!!!
neutral,@united Thank you for your response!
negative,@united Flight 683 last night was #bad4business. Will be a long time before I recommend United to anyone.
negative,"@united Beyond frustrated  Sked change = no seats, earlier departure and double layover.  Of course only seats are $$++.  Cust svc no help"
negative,"@united working with Lisa J at ORD. she's working hard for us, but this is still VERY disappointing. was on 634 to EWR."
positive,@united love the new 1st class breakfast!
negative,@united i emailed the customer care via the website form. After a long wait Rachelle resolved my issue. But I'm still irritated w/ united.
negative,"@united flight Cancelled Flightled,  and the updated one gets me into BWI too Late Flight! I'd be fine with DCA or IAD,  just arriving earlier!  Help!"
negative,@united so is the ^JJ standing for Just Joking?  I am not finding the humor.
neutral,@united Left item n the seatback on UA1260. Is there any way to call DCA to ask if they have the item? Already submitted lost &amp; found report
negative,@united at this point I made it home on my own.
neutral,@united I DM'd child's birthdate and full name.
positive,@united Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!
negative,"@united I would like to talk to a customer service agent about the service / non service I received on my last flight a a week or so a go.
J"
negative,"@united you Cancelled Flight my flight. I wait in line to get rebooked, when I'm at the front you make me go to another gate and I lose my place."
negative,@united it wasn't a comment. It was a question. But thanks for your copy and paste response
neutral,@united Lisa J is amazing the guy not so much.
negative,"@united you failed me last week at IAH. Next intl trip on Delta. Small ual flight from lax booked, that's it!"
negative,@united We were supposed to board at 605. They just brought the plane from the hanger! WTF did they not know there was a flight?1153 Lax-EWR
positive,@united flew from sdf to ATL to Tampa on Delta. Left early. Arrived early. Crew helpful. Wifi worked!!
neutral,@united two years old.  Birthdate 11/13/2012
negative,@united how about starting without the robotic response?
neutral,@united I already did.
negative,"@united You can't control turbulence, but you can control customer experience, lot of scared people up here."
negative,"@united Currently on UA862, 20 minutes of the worst turbulence I've ever experienced, and ZERO communication from the flight deck."
negative,"@united yes, but it's not looking. The ticket agent at out terminal dismissed us and we missed a chance at a Miami flight then to DR"
negative,@united I have been told twice my issue has been resolved and twice it has not been. And when I write an email it bounces?! #worstservice
negative,@united flight 433 lets go you look like clowns no one is giving up 1st class for $500
neutral,@united what would it cost
negative,@united I'm on hold for the 4th time waiting for you to resolve and issue with a flight for my 6-year-old son. #terribleservice #NoService
positive,@united Cool. Thank you.
neutral,@united I've got a campus visit in an hour and I'm still wearing the same clothes...
neutral,@United Adopting 2 yr old child from Ethiopia. Flying from ADD to GRR on 2/28.  Need to add child to reservation and get costs.  Help!  Thx
positive,@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight
negative,@united as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail
neutral,"@united good morning, any first class upgrades available for ua1619 Feb 25  rsw to ewr? I need 4 seats please"
negative,@united day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice
negative,"@united No, thanks. I'm sick of your company's lousy excuse for customer service. I'm never flying United again."
negative,@united current hold time AFTER speaking to rep to have tix reissued is 42 mins - why so long &amp; why not make this option available online?
negative,@united I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE
negative,@united also forgot add our bag is probably going to just sit in New Jersey because of a missed connection.
negative,@united jx4s2t if you can out today would be great it's our honeymoon and this delay you has put a damper on iy
negative,.@united Not what's been shared by the pilot with passengers!
negative,@united WHERE IS MY RECEIPT! I upgraded return leg and 6 months Late Flightr still NO receipt! http://t.co/DAjWzhLVyu
negative,@United how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat?  WTF.
negative,"@united they're not, actually. gate agent was so rude. now standing in a line waiting for reFlight Booking Problems. missed the only flight to STI. awful."
negative,@united I'm not sure you can do anything as this has been building up over time! Other than promises from your CEO service has gotten worse!
negative,@united wi-fi on 737-800 (aircraft 3511) didn't work entire ORD-DCA flight this morning
negative,"@united Cancelled Flightled my direct flight Newark-Brussels last night, now 7 hours behind schedule. In EU compensation would be a given, but in US?"
negative,".@united You may ""dislike delays"" but I paid you .We had an agreement that I paid you and you got me to my destination at a certain time."
negative,@united #epicfail on #CX as flight from Frankfurt to San Francisco now going to Chicago as flight crew out of hours due to de-icing delay
neutral,@united DM sent as requested. Make sure you follow back so you can DM me back. Thanks
negative,"@united I'm aware of the flight details, thanks. Three hours Late Flight a crew that could not give less of a shit"
neutral,@united please help http://t.co/t5mRj5Yw6I
negative,@united Making sure your flights aren't delayed due to poor maintenance would be a start.
negative,@united hilarious
negative,@united hahahahaha ya tried that already
neutral,@united WHy is my KTN not showing on my boarding?  Why is TSA pre-check not applying to my boarding pass?
negative,"@United ""Your bag may or may not be at the airport. Unfortunately, no one at the airport is picking up the phone or responding to messages."""
negative,@united funny I paid to check my bag and now flight 1086 is BEGGING folks to check bags for free 1 hour before flight. #notcool
negative,"@united nope not here. You need a little red stamp from the counter. Check yourself, before you wreck yourself son http://t.co/0pRGySvuRm"
negative,"@united wasn't trying to Cancelled Flight, just trying to change my award ticket, same date and place, but thanks for sending the link, I know the fee"
negative,@united unhappy with your new mileage rules :( - was my main reason to keep flying united. Will have to take my business elsewhere
negative,@united I need assistance. Due to your incompetence I need to reschedule a connection. I will NEVER fly @United again.
negative,"@united you've been officially displaced by @DeltaAssist for better flight experience, pleasant cabin crew and timeliness. UA 1m switching!"
neutral,@united sitting in the middle for the first time .. Hope it works out well
negative,@united you need a bag bouncer. Get it together
neutral,@united and learn how to book flights. http://t.co/MHHS9RUpLv
negative,@united @ShowExpert what is going on with United's Mileage Program? You pay $500 for a ticket and get a fraction of that as PQD credit?
negative,"@united you need to retrain your flight attendants. Saying there is no more room for carry ons when there actually is, is not cool."
negative,UA3388 @united was Cancelled Flightled not delayed.  Re-Flight Booking Problems still 90 miles from home.  At least acknowledge the Cancelled Flightlation.
negative,@united never ever again will I be Flight Booking Problems a flight with United or any affiliate if there is a chance to get on a United flight
positive,@united Was able to send the DM. All good now.
negative,@united three delayed flights and missed connections on first class flights and not get any compensation for losing those seats...
negative,@united and after being on hold for an hour the day before to sort it out and being told it's fine it should be fine when you arrive to fly
negative,@united - it's been almost 2 weeks and still no word from DOT on update of london fare to us cities? any updates on your end?
neutral,@united Thanks. Got it straightend out last night.
negative,@united well for a start it would be nice if your ticket was actually in the system when you change a flight
neutral,@united any chance flight 3745 is being delayed??  nervous about driving to DFW in this weather to drop off my brother
negative,@united Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending.
negative,@united no they did not want to deliver at my house. Had to go to sombrons else house
positive,@united have Michelle at T1 ORD train your other staff on how to treat customers. A refreshing pleasure to deal with.
negative,"@united I guess you have to ""follow"" me in order for me to send you a DM.. I tried and it won't send."
neutral,@united Will definitely do so. Sending a DM now.
negative,"@united Stopped flying @united 1 yr ago bc of aggressive policy on carryon @bdl listening to pssngrs forced to chk@preboard,#notcomingback"
negative,@united I have sent a message with a bag tag. Have you looked?
neutral,@united - Group 2 line gets longer every week. Almost no one left for Groups 3-5 anymore. Time to make Explorer Card Group 3?
negative,"@united just sent you a message on Facebook, how do I follow up a complaint re. Missing clothing out of checked baggage?"
negative,"@united why do I check in online if I still have to wait in line for an hour to ""check in"" at counter? #fuckinlame  @naia_miaa"
negative,@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.
negative,@united an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever
neutral,@united hi -- @united was. Thank you!
negative,@united an efficient layout at kiosks/bag drop lines would help as there is no definition to space. Additional friendly and helpful staff
negative,"@united - 75% of a plane's passengers boarding in your ""Premier"" groups might be an indication of a broken process."
neutral,@united Any news about the departure of the flight UA51?
positive,@united EWR agent Barbara was FABULOUS and an example of CUST. SERV. A pleasure talking to you😊 http://t.co/KMQuLY9g5E
negative,"@united Cancelled Flightled a flight cause the crew needed sleep.But it's totally okay to wake me up at 3am just to let me know it's Cancelled Flightled, again."
negative,"@united changed my last name for my MileagePlus acct on the site in an hour. @BA_USA had me on hold for 20mins, then 5 days &amp; no change yet"
negative,"@united flight landed 13 hours ago, 2 more flights CMH-IAD last night and still no bag..could have driven it from CMH"
neutral,@united someone should send a note to the revenue management team and ask about all the open BF and GF seats on 919.
negative,@united Do you have a further update on the suitcase today please.
negative,@united literally sucks
positive,@united thanks for the upgrade today great way to start my week! Cc: @CiscoJimFrench @cobedien
negative,@united Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS
neutral,"@united basically, I need to leave from Hawaii Late Flight evening (midnight) and get back to Philly Late Flight Monday night. Most trips get me in Tues"
negative,@united I would encourage you to re-interview the sole flight attendant on UAL 6166 from BUF to ORD. Blatantly not stable. Uncomfortable.
negative,@united this is the second time my flights been Cancelled Flightled... Like really?
negative,@united really 1st flt frm IAD 2 IAH is - Late Flight &amp; -going via Nashville? #inconvenience. Downgraded but not on ticket
neutral,@united yes please. Going to drive the 6 hours.
positive,@united I am impressed with your super-fast reply to @CGJase
positive,"@united hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!"
negative,"@united First complaint filed on Feb 11th, over 10 days now and still no response....disappointed but not surprised...."
negative,@united Morning! 4603 has been delayed by 7 hours. Can you get me to Newark for my 10am meeting?
negative,@united please stop spending mktg $ on branding ads. Use savings to improve #cxp. 1hr wait for luggage due to short staff is unacceptable
neutral,@united the child is two years old
negative,@united it's 430am and wife still doesn't have her luggage which was promised by 8pm and said to be on its way File number: DCA48810M #Fail
negative,@united was trying to change a flight online but got an error can you help via DM?
neutral,@united followed you and DM'd you
positive,@united the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.
negative,@united you are terrible.
neutral,@united  @DENAirport United 787 in snowy Denver. http://t.co/w1AaKJumXA
negative,"@united I'm glad you didn't mean to, but it doesn't excuse your inefficiency! Only took 70min for the bags, we were your only arrival flight"
negative,@united I attempted to book a ticket 3 times and kept getting a 'error' message. I hope you didn't still charge me.
negative,@united … But friendly efficient air attendants in coach #UA992 http://t.co/49pV3KcHNR
negative,"@united Coach interior on UA 992 looked like it was salvaged from the 80s. Tiny unusable video, no power &amp; lifevests on the floor #UA992 …"
negative,@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.)
negative,@united on plane to Newark now. I was checked in as Rebecca Levi. My bag is under her name too.
neutral,@united can you help me add my KTN to this reservation PLZ?
negative,@united aaaand 7 hours Late Flightr won't be catching a flight til 6AM...stuck in at airport in a snowstorm with no hotel-how's that for patience?
neutral,@united whats UA 1205 lax - newark ??
negative,@united @DelonGerry ual sucks
negative,@united not happening.  Delta took care of us.  Peace!
negative,BUT @united just re-booked to BOS; UGGH!! now 3 hour bus to WMASS home. Could have flown to BDL &amp; back to DC in same time. #unitedairlines
negative,@united you have now lost my bag. Never ever flying United again #joke
negative,"@united appreciate it, but changing time by 10 min multiple times 6 hours before flight is just annoying and seems like you have 0 clue"
negative,"@united Missed UA1568 connection due 2 mechanical failure UA1543 (""uplink prob""). I will lose ~$400 in clients Mon. How can you compensate?"
neutral,@united you'll be hearing from me for sure.
negative,@United so you jacked out my cousins trip to Portland and then Cancelled Flightled her return trip?! No more United
negative,"@united Yes I did.  We headed out to de-ice 5 minutes after I sent it to you.  Made it to Austin, but am now waiting for the luggage."
neutral,@united In Ethiopia adopting a child.  Need flight home from ADD to GRR Late Flight 2/27 or very early 2/28. (need to change existing reservation)
negative,"@united after a Cancelled Flighted flight, and 2 delays, you lost my luggage AGAIN! You're the WORST! Disgraceful! Awful company, horrible service!"
negative,@united doesn't help the 100 or more passengers that just arrived an hour Late Flight.
negative,@united 40 minutes on tarmac now. That's after 9 hour delay.
negative,@united I am very glad I took care of own rescheduling now that UA 1580 from OGG was Cancelled Flightled. http://t.co/H3k3oWOhD1
negative,@united Tried filling out the status match form and got hit with an error message. How can I tell if it went through? http://t.co/JbDkxd6eFz
negative,@united Is flight 746 going to sit on the tarmac FOREVER?????????
negative,@united One of your workers refused to give me her name as a reference for my notes. Her tone &amp; language was very unprofessional.
negative,@united that's why I blame your company. Because it had every opportunity to do a job and managed to fail each time for just lazy reasons
positive,@united I wanna be grand staff
negative,"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why..."
negative,@united that's why I missed my flight. If the flight had been held for 5 minutes I would have made it. I watched it pull away from the gate
negative,@united also didn't ice the frozen metal walkway. Wasted 40 minutes because no one knew how to do simple jobs.
negative,@united your ground crew was inept and left a truck sitting on the Tarmac. Didn't have a gate agent once we got a gate.
positive,@united I wanna be ride United airline! I love airplane
negative,"@united after 2 days - 1 flight Cancelled Flightled, another delay for 8 hours- united gave me a $7 food voucher. That's how much they value my time??"
negative,@united checked me in through security under the wrong name and given the wrong boarding pass. #AirlineSecurity
negative,"@united what the hell? Flight 746. Delayed since 3 pm, finally boarded and now sitting on the tarmac? Is this f&amp;&amp;%$cking plane Ever leaving?"
negative,"@united Actually, the flight was just Cancelled Flightled! http://t.co/Qf0Oc2HqeZ"
negative,"@united I am a loyal Premier Platinum member, but the lack of communication was really bad. Also, i don’t see that it has taken off yet"
negative,@united thanks for having changed me. Managed to arrive with only 8 hours of delay and exhausted
negative,"@united This is the 2nd time I was rebooked (w/delays), and for reasons unreLate Flightd to weather. How do I go about requesting a flight voucher?"
negative,"@united If you consider 50 mins for bags @ 10:00pm on a Sunday night ""as fast as they can"", you should reconsider what you think that means."
negative,"@united It's the horrible attitude from staff after , not just the delay. Not the level of service or respect one expects from United"
negative,@united why do you want me to be loyal  if don't let me carry on my bag that easily fits in overhead
neutral,"@united UA flight 1247. SFO to LAX took my carry on at gate. I'm Group 2, overhead bins are empty"
negative,@united On top of that I paid for 1st class and my wife got stuck in coach.
negative,@united Ph the pat answers are BS. After I was denied boarding it sat at the gate until 9:05! Your employees totally suck.
negative,"@United Over the last week, United has provided me with the worst customer service experience of my life. Disgusting. #united"
negative,@united 24 hrs since flight landed and ZERO info on my missing bag? rough ETA would be hugely helpful + restore some confidence
negative,@united big surprise #nogate waiting for our plane. Same fucken issues everything I fly you. #fail #worstairlineever
negative,"@united Not to belabor my point,but shouldn't I be able to put a laptop bag above my seat?  Why is it announced to leave it for rollers? Thx"
negative,@united maybemange the airline alittlebetter. Arrived at LAX and no GATE! #howisthatpossible always the same thing w/u
negative,@united I just checked my united app and the most valuable use of this app has been removed. I can no longer see the status of my equipment?
negative,"@united even after running to gate from your connecting flight, your customer service not let us in the plane that was just parked. Stranded"
negative,@united I'm desperately trying to understand how my girlfriend is being treated with this Cancelled Flightled/delayed flight.  #unacceptable #ORD
negative,"@united Nope, no more chances. Your airline messed up both ways of our trip."
negative,@united Why announce it is for rollers at all? If I want to put a coat in there isn't that my choice?  How about all gate checked? Thx
positive,@united you're my early frontrunner for best airline! #oscars2016
negative,"@united  bags left behind because plane overweight, be great if knew as soon as we landed, instead letting us wait 45 minutes with no info."
negative,@united You are a F&amp;$KING joke. Your customer service is woeful. If your staff tell a passenger that they will do something do it!
negative,@united was a sponsor of the oscars? No wonder it was a half hour delayed. #Oscars
positive,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky
negative,@united will lose my bag but won't give me free pretzels #frauds
negative,"@united you are trying to charge me 150 bucks because you lowered your award tickets and I want to get my hard earn points back, total BS"
negative,@united does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time? #gottogetbetter
negative,@united Apart from being on hold for over 2 hours and having talked to 5 people and the problem still not resolved!
negative,"@united typical caned response from UA, fix your crappy performing, last placed/ranked airline in this century!"
negative,@united is it even legal for you guys to advertise flights that you cant honor??
negative,@united customer service is the WORST. hanging up on customers intentionally after one hour on hold.
negative,@united was forced  to book a flight on a different date than originally planned for a higher price $1130 felt like a bait and switch tactic
negative,"@united love how you don't give a shit about people who tried to be loyal, but you screw them every way till Sunday. Glad I've stayed away"
negative,"@united tried a different flight IAH-MNL 4/1/15-4/17/15, 6 flights are advertised for $1038 but are not bookable (due to partner error)."
negative,@united it will be on a different airline.
negative,@united and was told that its been the case for weeks but is still not resolved.
negative,"@united clicked ""upgrade now"" and it didn't upgrade. What gives? http://t.co/N7oSjz8a59"
negative,@united you advertise the flight and its still on you website and still can't be book. spent over 2 hours with united support
negative,@united tried to book a flight IAH-MNL departing 3/31/15 returning 4/17/15 you are advertising 9 flights for $1051 that can't be book!
neutral,@united I just booked a flight for (2). When I view my reservation it has MI connected to First name. Is this a problem? can it be changed?
negative,@united quick (serious) question - any resources/ratings showing the quality of service is better than 8th place? http://t.co/deWIthPeW2
neutral,@united How do I get through @TSA to finally board UA 1534?
negative,"@united yes I have and I was calling in regards to speaking to someone about it even further, but unfortunately i was just bounced around."
negative,@united Flight 472 from ORD couldn't let me know about this? Found out via app minutes before landing. Awful flight. http://t.co/DQJl8vZ2h2
negative,@united i need help but in spanish
negative,"@united A very disappointing experience - plane mech. delay and next one didn't wait. No sincere apology, just told me to complain online"
negative,@united I lost my sunglasses on the flight from OKC to IAH this morning (8am takeoff) .. is there any way to retrieve them?
neutral,@united @reccewife with the exception of everything you've asked for. Heh
negative,@united UA1731 - Denver to Austin...  Still on the ground...
negative,@united either your staff or whoever you contract with at PVD is failing you big time tonight...
neutral,@united UA1469. Just landed.
negative,@united considering it. Currently gold on @delta. Why should I make the jump for an upcoming flight from SFO to Singapore?
neutral,@united flight 435
negative,"@united worst flights I've ever had. ground crew ignored our plane, made me miss flight and now I have to cover the cost of a hotel. #DEN"
negative,@united customers aren't dumb. These revenue based programs will hurt everyone. Not gonna save money like you think
negative,@united it was me who had the problem won flight ua 1580. I called and rebooked myself found my own hotel and taxi
positive,@united will do. Thanks for the help. Cheers
negative,"@united bull crap.  I spent $600 on a recent trip.  That's not small change. I got 10,000 AA miles.  Would have only been 6600 UA"
negative,@united yes I did. Terrible service from your courrier
negative,@united compensate us for new clothes bet you won't
positive,@united I have 8 flights with you in the next two weeks :) let's make some good memories!
negative,"@united, we're stuck at OGG, looks like flight will be Cancelled Flightled. Can you help? =)"
negative,@united yea they been booked on 10 next avalible flights since sat 7am. And when time comes no plane 2nd day of work missed #hotelliving
negative,@united currently crying... I wanted to ski tomorrow but prolly not. Just a boy tryna fulfill his dreams
negative,"@united I tried the online tracking and they said something like ""attempting to locate luggage"""
negative,@united your worker told us not to call because we'd be talking to someone in Thailand...
negative,@united - Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here.
negative,@united is there nothing you can do for me? No compensation at all? Given the circumstances I feel like there must be something you can do
negative,@united there is a disconnect between your PR group and the actual business strategy and employee attitude on the ground.  #liars #united
negative,@united here we go again. 2 of 3 segments SFO--New York RT were delayed OVER 2 hrs each! Why do you suck so BAD!?!Maybe another line of bus?
negative,@united you really screwed up dealing mechanical failure from Maui to San Francisco. Poor communication bad help in getting connections
negative,"@united if you don't like delayed bags, why do you let it happen so much?"
negative,@united the delay is due to customer service for 20 people?  What about the DIS-SERVICE you provided for 100+?  #FlightFail #Hour20Delay
positive,@united he is so excellent and so reliable :) #happycustomer
negative,@united but again UNITED DOESNT GIVE 2 SHITS ABOUT THEIR CUSTOMERS
negative,@united its funny how none of ur tweets back are helpful what I want is to read 'ya we'll change that so our customers get better service'
neutral,@united She is travelling from Melbourne (Australia ) to Bogota (Colombia) tomorrow
neutral,@united Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you
positive,@united it was delivered! Thank you for making sure it arrived at my doorstep!
negative,"@united really needs to get its act together. Really disappointed in our change of flight, delayed flights, etc."
negative,"@united-rebooked to OMA - 180 miles from my destination. Spotty customer service. I get staff stressors but come on, this is your business."
neutral,@united Why have airlines always told us they can't open a cabin door once it has been closed?  This plane has done it 3 times tonight.
positive,“@united: Looking for a reason to travel? #quote http://t.co/GGuIg3t28z”
negative,@united I can't find any Late Flight evening flights. Are there other airports that would have an overnight flight?
negative,@united Thanks for the vague canned response that doesn't address the issue!
positive,@united thank you!
negative,@united that's not good enough for all of us affected by the awful organization and timing and have now been set back
negative,@united  Otis in the baggage claim by Bay #8. not at all happy but not nearly as pissed.
negative,@united Why is my time less important to you?  #StrandUsInDenver #HourAndTenMinuteDelay #FlightFail
negative,@united airlines: you kidding? Bagage lost this morning from ny to Washington and still no trace? #badservice
negative,@united I did. It took about an hour and a half though
negative,@united Why have you never held a plane for me? #HourDelay #MultipleDoorOpeningAndClosing #DangerOfGettingSnowedIn
negative,@united i did but i got nothing from it. Just dissapointment =(
negative,@united WHERE IS MY FUCKING BAG?!?! Where the fuck is my fucking bag??? TELL ME NOW OR GIVE ME A NUMBER TO CALL A HUMAN. SAN68059M
positive,@united I was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other Cancelled Flightlations.
negative,@united Made@it to the gate at 8:23 and they wouldn't let us on. http://t.co/xAToxBnsFa
negative,@united time to give up my 1K status and switch to @Delta - you are so terrible I can't even describe.
positive,"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)"
negative,@united You suck. Flight delayed equipment probs again. Miss connection by 2 minutes and you won't let us on even though it's at the gate.
negative,@United #1758 now going in 40 min waiting for other plane to vacate gate. #findanothergate
negative,@united Flight 2 is 2:30 hrs delayed so far b/c of Late Flight crew. Now we are literally waiting while they have dinner acc. to honest gate agent.
negative,@United many people on Ua6318 are going to miss connections due to long wait time in SFO tarmac. Seriously u can't find an empty gate?
negative,@united You're trying to solve problem of your own making. Charging for checked luggage forces checking at gate. Brilliant.
negative,@united we've been waiting 45 min for a gate at SFO... Yet so many of them are free.  Your excellence in operational efficiency is showing
negative,"@United ""delayed due to customer service"" Huh? http://t.co/XlTV5z6sT1"
negative,@united what about the poor customer service at checkin at Kansas KCI?!? That's it???
negative,@united except all of that delayed the flight anyway.
negative,@United maybe find a different gate #ua1758
